epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8246,2.65358,5.11861,2.1482,0,0,0,0,2.45411,5.12799,2.33459,2.5e-05,2.5e-05,2.5e-05
2,38.3542,2.29415,4.78423,1.84512,0,0,0,0,2.31661,5.1353,2.30212,6.12625e-05,6.12625e-05,6.12625e-05
3,53.5867,2.18928,4.98087,1.88594,0,0,0,0,2.21105,4.99611,2.18676,9.604e-05,9.604e-05,9.604e-05
4,69.0922,2.04305,4.78501,1.80547,0,0,0,0,2.26132,4.95961,2.19781,0.000129332,0.000129332,0.000129332
5,83.9031,1.98466,4.47979,1.67767,0,0,0,0,2.21739,4.95519,2.13385,0.00016114,0.00016114,0.00016114
6,99.2305,1.95787,4.33306,1.79309,0.00087,0.11111,0.00124,0.00012,2.27936,5.0329,2.1101,0.000191463,0.000191463,0.000191463
7,114.057,1.97447,4.75904,1.65752,0,0,0,0,2.27603,4.95609,2.07372,0.0002203,0.0002203,0.0002203
8,129.168,1.65691,4.04501,1.55629,0.00085,0.11111,0.00616,0.00308,2.26882,4.99458,2.09377,0.000247653,0.000247653,0.000247653
9,144.383,1.77367,3.98127,1.54846,0.00173,0.22222,0.01417,0.00829,2.24474,4.94976,2.09498,0.00027352,0.00027352,0.00027352
10,159.647,1.67132,3.77531,1.4409,0.00171,0.22222,0.11627,0.07923,2.15756,4.87054,2.01125,0.000297903,0.000297903,0.000297903
11,175.402,1.71384,3.87981,1.4743,0.0018,0.22222,0.11825,0.06844,2.07826,4.86111,1.99084,0.0003208,0.0003208,0.0003208
12,190.668,1.70955,3.6003,1.40194,0.00252,0.27778,0.12119,0.06991,2.0874,4.81418,2.06626,0.000342213,0.000342213,0.000342213
13,206.567,1.7585,3.40668,1.35126,0.00253,0.27778,0.12621,0.08122,2.072,4.7247,1.96833,0.00036214,0.00036214,0.00036214
14,222.132,1.6737,3.39804,1.40458,0.0041,0.44444,0.19137,0.11609,1.90285,4.56636,1.85252,0.000380582,0.000380582,0.000380582
15,238.009,1.70214,3.30691,1.38639,0.0041,0.44444,0.19137,0.11609,1.90285,4.56636,1.85252,0.00039754,0.00039754,0.00039754
16,254.422,1.4764,2.8929,1.34308,0.00426,0.44444,0.32943,0.20071,1.80995,4.40323,1.85738,0.000413012,0.000413012,0.000413012
17,270.858,1.52024,3.12606,1.36205,0.00529,0.5,0.32042,0.16134,1.81816,4.39343,1.8958,0.000427,0.000427,0.000427
18,286.4,1.59642,3.05082,1.35258,0.00529,0.5,0.32042,0.16134,1.81816,4.39343,1.8958,0.000439502,0.000439502,0.000439502
19,302.695,1.55226,2.56136,1.25941,0.00424,0.38889,0.342,0.22865,1.87072,4.34645,1.97221,0.00045052,0.00045052,0.00045052
20,317.939,1.54484,2.51943,1.35007,0.89513,0.12359,0.36118,0.24024,1.83919,4.1777,1.95759,0.000460053,0.000460053,0.000460053
21,333.02,1.60495,2.72125,1.29029,0.89513,0.12359,0.36118,0.24024,1.83919,4.1777,1.95759,0.0004681,0.0004681,0.0004681
22,348.546,1.46364,2.19818,1.2038,1,0.10512,0.39086,0.22666,1.83089,3.9645,1.91901,0.000474663,0.000474663,0.000474663
23,368.049,1.65205,2.80481,1.37532,1,0.10512,0.39086,0.22666,1.83089,3.9645,1.91901,0.00047974,0.00047974,0.00047974
24,383.799,1.4686,2.35239,1.21267,0.9757,0.11111,0.42964,0.22166,1.76905,3.84468,1.85796,0.000483333,0.000483333,0.000483333
25,399.682,1.56599,2.56805,1.26287,0.9757,0.11111,0.42964,0.22166,1.76905,3.84468,1.85796,0.00048544,0.00048544,0.00048544
26,415.272,1.41891,2.19797,1.18414,0.97855,0.38275,0.4178,0.22043,1.82566,3.80387,1.85124,0.000486063,0.000486063,0.000486063
27,430.377,1.37956,2.32921,1.19964,0.97855,0.38275,0.4178,0.22043,1.82566,3.80387,1.85124,0.0004852,0.0004852,0.0004852
28,445.456,1.37262,2.1882,1.16447,1,0.35405,0.39903,0.18948,1.88243,3.74583,1.80017,0.000482852,0.000482852,0.000482852
29,460.471,1.48593,2.23767,1.19216,1,0.35405,0.39903,0.18948,1.88243,3.74583,1.80017,0.00047902,0.00047902,0.00047902
30,476.042,1.36786,2.04498,1.20641,1,0.35405,0.39903,0.18948,1.88243,3.74583,1.80017,0.000473703,0.000473703,0.000473703
31,491.557,1.46764,2.34941,1.22675,1,0.3623,0.40087,0.20075,1.94968,3.62545,1.82251,0.0004669,0.0004669,0.0004669
32,506.959,1.36123,1.96515,1.16885,1,0.3623,0.40087,0.20075,1.94968,3.62545,1.82251,0.000458613,0.000458613,0.000458613
33,522.543,1.38579,2.13543,1.17059,1,0.36201,0.40009,0.22593,2.01487,3.5767,1.83796,0.00044884,0.00044884,0.00044884
34,537.437,1.31326,2.0079,1.10924,1,0.36201,0.40009,0.22593,2.01487,3.5767,1.83796,0.00043325,0.00043325,0.00043325
35,553.043,1.22965,1.90044,1.10389,1,0.36201,0.40009,0.22593,2.01487,3.5767,1.83796,0.0004085,0.0004085,0.0004085
36,568.541,1.34161,1.93798,1.20109,0.90665,0.37807,0.43732,0.20911,2.10418,3.5656,1.91048,0.00038375,0.00038375,0.00038375
37,584.477,1.27764,2.16495,1.18142,0.90665,0.37807,0.43732,0.20911,2.10418,3.5656,1.91048,0.000359,0.000359,0.000359
38,599.772,1.13941,1.83272,1.08553,0.90665,0.37807,0.43732,0.20911,2.10418,3.5656,1.91048,0.00033425,0.00033425,0.00033425
39,615.176,1.2566,1.89969,1.05612,0.85858,0.38111,0.43515,0.2265,2.07147,3.50553,1.90683,0.0003095,0.0003095,0.0003095
40,630.313,1.17787,1.84282,1.10942,0.85858,0.38111,0.43515,0.2265,2.07147,3.50553,1.90683,0.00028475,0.00028475,0.00028475
41,646.777,1.36664,2.28756,1.24181,0.58313,0.44293,0.42989,0.24776,2.02524,3.42619,1.91642,0.00026,0.00026,0.00026
42,662.024,1.17515,2.04238,1.13151,0.58313,0.44293,0.42989,0.24776,2.02524,3.42619,1.91642,0.00023525,0.00023525,0.00023525
43,677.325,1.1126,2.05877,1.11681,0.58313,0.44293,0.42989,0.24776,2.02524,3.42619,1.91642,0.0002105,0.0002105,0.0002105
44,692.838,1.21529,2.12868,1.11507,0.61848,0.46442,0.42745,0.24536,2.00562,3.35665,1.90153,0.00018575,0.00018575,0.00018575
45,708.163,1.27343,2.1819,1.16907,0.61848,0.46442,0.42745,0.24536,2.00562,3.35665,1.90153,0.000161,0.000161,0.000161
46,722.643,1.31552,2.20357,1.12945,0.61848,0.46442,0.42745,0.24536,2.00562,3.35665,1.90153,0.00013625,0.00013625,0.00013625
47,737.299,1.20735,1.99252,1.14695,0.66667,0.32491,0.39248,0.23129,2.00824,3.33951,1.88351,0.0001115,0.0001115,0.0001115
48,751.863,1.17266,2.09296,1.08943,0.66667,0.32491,0.39248,0.23129,2.00824,3.33951,1.88351,8.675e-05,8.675e-05,8.675e-05
49,766.784,1.31333,2.18356,1.14177,0.66652,0.33016,0.3887,0.22781,1.99703,3.31785,1.87858,6.2e-05,6.2e-05,6.2e-05
50,782.582,1.06537,1.90577,1.09943,0.66652,0.33016,0.3887,0.22781,1.99703,3.31785,1.87858,3.725e-05,3.725e-05,3.725e-05
